feature,importance,percentage
count_cross_B2_and_A2,7706.44,10.10
E23,6236.94,8.17
E4,5784.24,7.58
C3,2931.49,3.84
C1,2548.40,3.34
count_cross_B2_and_A3,2511.19,3.29
E14,2384.39,3.13
E27,2216.36,2.90
count_cross_B2_and_C1,2146.10,2.81
E1,2124.05,2.78
A2,1909.56,2.50
A2_E1_nuq_num,1820.52,2.39
count_cross_B3_and_C1,1684.22,2.21
E20,1627.61,2.13
count_cross_B2_and_C2,1580.77,2.07
A3,1552.17,2.03
A2_E14_nuq_num,1500.34,1.97
E14_hour_nuq_num,1493.59,1.96
E14_A2_nuq_num,1436.58,1.88
hour,1423.81,1.87
E6,1420.35,1.86
E9,1417.55,1.86
E1_A2_nuq_num,1324.85,1.74
E1_hour_nuq_num,1314.93,1.72
count_cross_B2_and_A1,1251.58,1.64
B2,1124.62,1.47
hour_A2_nuq_num,1082.58,1.42
B1,1080.09,1.42
count_cross_B3_and_A2,1072.71,1.41
hour_E1_nuq_num,1013.50,1.33
C2,966.64,1.27
A1,953.62,1.25
count_cross_B3_and_A3,898.68,1.18
count_cross_B2_and_D1,789.50,1.03
A2_hour_nuq_num,731.79,0.96
hour_E14_nuq_num,717.04,0.94
B3,638.28,0.84
E10,611.67,0.80
count_cross_B2_and_C3,592.28,0.78
E24,565.02,0.74
count_cross_B3_and_C2,521.54,0.68
E2,520.96,0.68
count_cross_B3_and_D1,518.77,0.68
E7,513.87,0.67
E28,507.57,0.67
count_cross_B3_and_C3,435.15,0.57
count_cross_B3_and_A1,426.29,0.56
D1,402.04,0.53
E29,148.42,0.19
E5,117.85,0.15
