feature,importance,percentage
E9,148.22,23.55
E3,37.34,5.93
E13,32.17,5.11
E4,31.12,4.95
E23,23.44,3.72
E15,17.43,2.77
count_cross_B2_and_A2,15.98,2.54
E24,15.01,2.39
E2,13.62,2.16
E16,12.29,1.95
E5,10.24,1.63
count_cross_B2_and_A3,9.80,1.56
E28,9.61,1.53
E27,9.09,1.44
E1_hour_nuq_num,8.51,1.35
A2,8.50,1.35
ratio_click_of_A2,8.46,1.34
A2_E14_nuq_num,8.38,1.33
count_cross_B2_and_C2,8.30,1.32
count_cross_B2_and_A1,8.08,1.28
A1,8.08,1.28
B1,7.98,1.27
count_cross_B3_and_C2,7.95,1.26
A2_E1_nuq_num,7.79,1.24
E12,7.37,1.17
count_cross_B3_and_A2,7.28,1.16
E14_hour_nuq_num,7.21,1.14
E7,7.20,1.14
E10,6.95,1.10
A2_hour_nuq_num,6.88,1.09
E26,6.67,1.06
B2,6.58,1.05
D1,6.51,1.03
E17,6.45,1.02
count_cross_B3_and_A3,6.39,1.02
ratio_click_of_A3,6.39,1.02
E25,6.31,1.00
E14,6.23,0.99
E11,5.86,0.93
A3,5.81,0.92
E14_A2_nuq_num,5.78,0.92
E1_A2_nuq_num,5.77,0.92
count_cross_B2_and_D1,5.63,0.89
count_cross_B3_and_D1,5.60,0.89
E1,5.60,0.89
E21,5.56,0.88
E19,5.54,0.88
count_cross_B3_and_A1,5.50,0.87
B3,5.48,0.87
E6,5.43,0.86
