ID,label
54863,0.8616
87143,0.8485
60770,0.8445
94798,0.8369
85377,0.8131
94737,0.8111
29272,0.8100
77384,0.8053
88283,0.8022
30659,0.7958
86577,0.7940
88836,0.7918
29350,0.7914
86231,0.7905
58458,0.7837
66755,0.7787
64975,0.7786
7083,0.7775
41637,0.7724
79605,0.7722
29530,0.7715
65718,0.7712
95434,0.7712
9065,0.7711
30996,0.7680
5696,0.7666
14461,0.7657
87155,0.7652
59648,0.7636
66138,0.7633
29606,0.7622
73660,0.7604
45357,0.7577
69351,0.7571
24535,0.7570
31696,0.7569
60107,0.7564
88450,0.7564
66088,0.7558
38450,0.7548
49622,0.7540
13625,0.7537
47733,0.7535
3041,0.7529
98358,0.7525
89068,0.7514
69585,0.7513
53384,0.7511
30835,0.7511
85288,0.7504
41040,0.7490
66041,0.7487
95534,0.7479
13446,0.7475
50926,0.7470
87266,0.7463
50515,0.7462
26894,0.7456
88239,0.7447
51272,0.7443
85118,0.7433
38791,0.7430
31519,0.7430
70231,0.7428
38254,0.7426
63840,0.7426
28952,0.7423
59457,0.7421
48233,0.7414
75491,0.7413
5656,0.7409
93007,0.7405
61840,0.7398
57830,0.7397
17871,0.7385
45280,0.7378
23849,0.7371
7100,0.7368
6674,0.7357
83193,0.7346
19806,0.7337
77296,0.7337
57410,0.7336
96087,0.7334
44052,0.7334
55972,0.7329
83215,0.7322
48139,0.7316
27377,0.7316
98784,0.7313
20493,0.7309
3571,0.7308
99478,0.7303
11994,0.7299
48654,0.7299
90144,0.7298
10044,0.7295
47023,0.7288
28933,0.7279
4034,0.7274
46721,0.7272
74423,0.7265
30558,0.7257
15409,0.7249
5030,0.7246
94986,0.7244
48582,0.7244
95509,0.7242
34496,0.7236
63237,0.7234
38767,0.7233
45162,0.7225
78807,0.7221
70925,0.7218
28324,0.7215
67872,0.7210
66941,0.7204
97202,0.7196
28233,0.7194
85568,0.7193
79431,0.7192
59400,0.7178
95115,0.7178
21870,0.7177
61053,0.7177
27032,0.7176
1215,0.7176
44334,0.7168
8029,0.7146
29377,0.7140
22213,0.7139
48686,0.7136
64404,0.7132
8796,0.7129
98906,0.7126
63505,0.7108
93688,0.7101
98695,0.7092
75552,0.7079
39297,0.7077
12857,0.7067
33130,0.7059
39795,0.7058
21400,0.7055
68490,0.7050
49260,0.7049
97762,0.7042
72884,0.7039
59147,0.7035
13624,0.7026
49062,0.7026
48179,0.7023
84321,0.7018
23998,0.7010
