ID,label
54863,0.8677
87143,0.8626
60770,0.8560
94798,0.8538
94737,0.8404
29272,0.8305
66088,0.8297
13625,0.8293
77384,0.8287
89068,0.8283
59648,0.8268
85377,0.8267
86231,0.8265
88283,0.8242
61840,0.8239
29350,0.8231
30659,0.8224
55972,0.8206
88836,0.8199
86577,0.8196
93007,0.8195
59457,0.8190
49622,0.8185
63840,0.8182
50926,0.8171
95115,0.8164
74423,0.8156
50515,0.8156
48233,0.8152
19806,0.8146
41637,0.8123
85118,0.8119
66755,0.8103
9065,0.8089
58458,0.8088
94986,0.8087
7083,0.8085
10044,0.8083
65718,0.8071
28233,0.8067
5696,0.8062
38767,0.8062
79605,0.8061
88450,0.8057
61053,0.8047
64975,0.8044
45162,0.8041
39297,0.8037
11994,0.8031
23849,0.8019
8029,0.8018
12857,0.8017
87155,0.8015
98358,0.8015
29377,0.8014
29606,0.8014
68490,0.8013
27032,0.8012
29530,0.8012
14461,0.8012
30996,0.8010
66941,0.8008
31696,0.8002
24535,0.7996
66138,0.7995
69351,0.7986
59712,0.7984
96087,0.7982
45280,0.7976
44334,0.7974
59400,0.7973
45357,0.7966
73660,0.7964
95434,0.7962
60107,0.7961
69585,0.7959
87266,0.7958
66041,0.7956
47733,0.7955
30835,0.7950
31519,0.7944
3041,0.7942
31887,0.7942
38254,0.7938
36950,0.7933
29178,0.7933
98906,0.7930
88239,0.7929
64404,0.7928
53384,0.7928
22213,0.7922
51272,0.7921
7100,0.7921
41040,0.7913
38450,0.7909
49062,0.7906
26894,0.7906
13446,0.7903
28952,0.7899
48179,0.7894
38791,0.7894
95534,0.7891
57830,0.7888
17871,0.7888
48139,0.7886
99478,0.7885
98784,0.7877
85288,0.7867
5656,0.7862
38402,0.7848
75491,0.7847
48654,0.7840
78807,0.7839
44052,0.7838
27377,0.7825
90144,0.7822
6674,0.7820
83215,0.7817
47023,0.7816
99624,0.7815
83193,0.7810
34496,0.7803
28069,0.7801
77296,0.7800
67872,0.7800
57410,0.7796
9123,0.7795
15422,0.7791
4034,0.7791
95509,0.7785
15409,0.7784
5030,0.7783
9181,0.7777
46721,0.7775
8796,0.7774
31193,0.7772
70925,0.7771
93002,0.7771
21870,0.7770
48686,0.7770
97202,0.7768
85568,0.7765
63237,0.7759
49260,0.7758
63798,0.7754
28324,0.7751
98695,0.7749
95738,0.7724
16154,0.7707
8991,0.7702
41330,0.7699
28933,0.7699
59147,0.7691
90519,0.7690
83347,0.7688
76684,0.7684
77329,0.7680
45842,0.7675
66262,0.7673
19450,0.7655
2127,0.7654
77353,0.7643
79431,0.7637
20493,0.7636
75552,0.7634
74299,0.7634
93182,0.7633
63514,0.7631
74779,0.7631
37989,0.7626
78167,0.7618
39795,0.7614
28295,0.7614
67104,0.7611
6317,0.7610
55691,0.7609
98619,0.7594
47943,0.7578
70231,0.7578
97762,0.7577
8297,0.7576
30558,0.7570
58996,0.7569
72526,0.7568
57561,0.7567
38771,0.7565
69725,0.7562
34402,0.7558
50903,0.7550
19812,0.7550
60728,0.7547
18845,0.7543
83574,0.7542
3571,0.7540
77217,0.7531
29036,0.7520
36814,0.7518
19961,0.7517
46783,0.7516
1215,0.7513
54047,0.7509
18545,0.7509
97918,0.7506
79947,0.7502
72561,0.7501
30653,0.7500
65865,0.7499
23669,0.7496
94641,0.7491
44323,0.7489
27086,0.7489
77452,0.7488
77121,0.7486
92823,0.7470
48582,0.7467
4731,0.7461
75686,0.7460
89635,0.7457
10360,0.7447
10510,0.7444
38681,0.7444
43689,0.7443
36003,0.7441
65072,0.7430
89789,0.7429
29180,0.7424
30894,0.7420
75703,0.7416
69529,0.7414
29071,0.7411
40531,0.7404
69976,0.7401
55308,0.7398
36182,0.7397
22980,0.7381
63688,0.7381
35571,0.7377
34813,0.7376
69151,0.7357
43178,0.7350
8477,0.7345
29630,0.7343
64919,0.7342
21522,0.7341
45456,0.7340
12760,0.7338
36816,0.7331
80020,0.7320
13624,0.7318
76654,0.7318
33130,0.7317
57184,0.7317
68981,0.7314
37798,0.7313
30692,0.7313
28915,0.7311
8110,0.7308
29502,0.7294
23998,0.7279
68941,0.7278
91836,0.7270
89410,0.7269
67018,0.7263
84321,0.7260
42969,0.7258
40008,0.7258
63505,0.7254
6710,0.7251
6977,0.7248
89870,0.7248
49837,0.7244
69405,0.7240
80120,0.7240
39262,0.7238
69822,0.7234
96479,0.7234
48731,0.7233
13850,0.7232
93688,0.7227
24036,0.7225
70131,0.7221
44576,0.7220
72884,0.7219
61962,0.7216
38201,0.7206
18003,0.7203
65749,0.7198
47619,0.7194
62429,0.7191
30550,0.7186
21400,0.7181
58995,0.7180
77513,0.7180
93513,0.7178
72636,0.7176
51116,0.7173
34076,0.7172
10303,0.7165
73473,0.7164
66177,0.7160
59304,0.7158
20277,0.7153
31387,0.7148
75966,0.7147
30982,0.7138
19255,0.7136
17325,0.7131
98736,0.7121
84505,0.7119
28853,0.7112
56096,0.7105
75571,0.7103
75929,0.7100
49174,0.7091
16841,0.7087
2063,0.7079
65682,0.7078
17378,0.7076
76531,0.7055
41184,0.7054
5276,0.7046
63316,0.7046
97590,0.7046
55069,0.7046
81648,0.7026
62462,0.7025
46616,0.7024
97228,0.7019
70569,0.7015
16701,0.7012
46310,0.7011
7314,0.7009
94788,0.7007
73959,0.7006
55302,0.6993
90130,0.6991
29845,0.6989
71304,0.6985
17238,0.6981
44216,0.6970
7873,0.6969
20784,0.6969
85779,0.6968
84332,0.6963
93509,0.6956
95140,0.6955
26421,0.6954
45693,0.6953
35951,0.6950
82136,0.6947
89902,0.6940
89836,0.6939
14272,0.6932
28679,0.6931
88376,0.6931
97595,0.6929
86255,0.6912
80269,0.6910
35470,0.6909
83141,0.6908
34818,0.6905
10561,0.6902
76887,0.6901
57570,0.6901
31891,0.6900
80654,0.6896
73322,0.6894
60530,0.6894
27448,0.6886
