ID,label
54863,0.8645
87143,0.8546
60770,0.8464
94798,0.8412
85377,0.8258
29272,0.8244
77384,0.8193
94737,0.8190
88283,0.8182
30659,0.8083
86577,0.8077
29350,0.8077
88836,0.8061
86231,0.8025
58458,0.8000
64975,0.7992
59648,0.7974
66755,0.7959
95434,0.7954
7083,0.7934
79605,0.7887
9065,0.7875
65718,0.7864
50926,0.7854
5696,0.7852
30996,0.7851
89068,0.7850
95534,0.7848
66138,0.7840
13625,0.7838
50515,0.7832
41637,0.7828
66088,0.7824
14461,0.7818
29530,0.7810
85118,0.7807
87155,0.7796
73660,0.7794
29606,0.7778
69351,0.7777
59457,0.7764
38450,0.7758
45357,0.7755
45280,0.7747
49622,0.7746
24535,0.7745
60107,0.7739
88450,0.7739
63840,0.7734
48233,0.7733
61840,0.7728
31696,0.7727
30835,0.7727
47733,0.7726
93007,0.7714
23849,0.7714
3041,0.7714
69585,0.7713
99478,0.7710
53384,0.7708
96087,0.7705
55972,0.7703
66041,0.7698
98358,0.7689
10044,0.7678
41040,0.7669
19806,0.7666
26894,0.7663
87266,0.7660
13446,0.7654
98784,0.7653
88239,0.7651
85288,0.7648
51272,0.7641
31519,0.7639
75491,0.7624
6674,0.7618
28952,0.7618
38791,0.7615
98906,0.7611
44052,0.7600
38254,0.7595
74423,0.7591
7100,0.7590
95115,0.7583
5656,0.7581
66941,0.7578
94986,0.7576
45162,0.7569
57830,0.7567
61053,0.7561
28233,0.7560
38767,0.7554
22213,0.7552
83193,0.7552
17871,0.7551
59712,0.7545
48654,0.7545
77296,0.7541
68490,0.7540
57410,0.7538
59400,0.7536
90144,0.7529
27032,0.7529
48139,0.7521
48179,0.7520
12857,0.7516
27377,0.7516
47023,0.7513
83215,0.7508
39297,0.7508
34496,0.7506
44334,0.7503
46721,0.7498
67872,0.7490
29178,0.7486
29377,0.7485
8029,0.7479
28933,0.7478
4034,0.7477
70925,0.7474
36950,0.7470
78807,0.7468
31887,0.7463
28324,0.7460
64404,0.7458
15409,0.7450
5030,0.7448
85568,0.7448
95509,0.7447
49062,0.7447
63237,0.7413
21870,0.7410
9123,0.7406
48686,0.7404
97202,0.7401
20493,0.7401
38402,0.7382
11994,0.7371
70231,0.7353
98695,0.7350
8796,0.7347
59147,0.7345
9181,0.7342
93002,0.7342
8991,0.7335
63798,0.7333
83347,0.7325
49260,0.7317
99624,0.7316
75552,0.7315
30558,0.7303
39795,0.7301
95738,0.7298
28069,0.7284
34402,0.7277
15422,0.7275
98619,0.7273
2127,0.7270
79431,0.7252
1215,0.7249
67104,0.7244
31193,0.7242
77121,0.7240
76684,0.7239
97762,0.7236
28295,0.7233
45842,0.7228
19450,0.7227
97918,0.7227
16154,0.7226
3571,0.7222
93182,0.7214
77329,0.7194
74299,0.7190
78167,0.7183
48582,0.7180
74779,0.7179
79947,0.7177
33130,0.7170
83574,0.7170
18845,0.7166
69725,0.7160
19961,0.7158
66262,0.7153
19812,0.7150
58996,0.7147
8297,0.7140
63514,0.7139
44323,0.7138
90519,0.7136
77353,0.7129
30653,0.7128
30894,0.7112
47943,0.7111
64919,0.7111
29036,0.7104
72561,0.7097
92823,0.7096
60728,0.7096
37989,0.7094
72526,0.7093
38771,0.7086
36814,0.7084
63505,0.7080
55691,0.7071
77217,0.7066
29180,0.7063
46783,0.7055
6317,0.7053
43689,0.7052
41330,0.7042
50903,0.7036
54047,0.7035
69529,0.7035
38681,0.7034
63688,0.7031
13624,0.7031
55308,0.7027
36816,0.7025
40531,0.7022
93688,0.7022
18545,0.7019
96479,0.7016
12760,0.7011
4731,0.7010
22980,0.7008
94641,0.7007
29071,0.6991
77452,0.6988
21522,0.6985
75686,0.6982
36003,0.6979
8477,0.6978
29502,0.6975
65072,0.6973
65865,0.6967
23998,0.6963
10360,0.6955
57184,0.6953
8110,0.6946
6710,0.6945
10303,0.6944
84321,0.6931
70131,0.6926
36182,0.6922
29630,0.6918
21400,0.6912
73322,0.6911
30550,0.6910
39262,0.6906
48731,0.6903
34813,0.6903
37798,0.6899
91836,0.6899
77513,0.6895
45456,0.6892
67018,0.6890
10510,0.6883
18003,0.6881
23669,0.6880
89635,0.6876
73473,0.6872
40008,0.6870
35571,0.6870
13850,0.6868
38201,0.6861
31387,0.6860
58995,0.6859
19255,0.6858
89789,0.6854
75929,0.6851
28915,0.6851
72884,0.6849
17325,0.6846
80020,0.6845
44576,0.6844
69976,0.6842
97228,0.6840
66177,0.6839
47619,0.6838
59304,0.6837
89410,0.6831
17378,0.6827
24036,0.6821
16841,0.6814
69822,0.6810
84505,0.6810
89870,0.6805
7314,0.6802
80120,0.6800
55069,0.6799
75571,0.6792
29845,0.6786
93513,0.6783
34076,0.6783
75703,0.6782
42969,0.6782
30982,0.6778
76531,0.6758
94788,0.6755
69405,0.6753
68981,0.6751
41184,0.6749
6977,0.6734
69151,0.6733
89902,0.6727
75966,0.6726
43178,0.6718
65682,0.6716
63316,0.6712
72636,0.6710
5276,0.6709
20784,0.6709
97590,0.6705
7873,0.6697
71304,0.6693
70569,0.6693
27086,0.6688
88376,0.6678
2063,0.6675
80269,0.6672
27448,0.6665
97595,0.6658
81648,0.6654
95140,0.6651
85779,0.6644
31891,0.6638
23250,0.6634
68941,0.6623
17238,0.6623
82136,0.6623
46310,0.6616
62429,0.6614
76887,0.6595
59092,0.6595
57570,0.6593
66503,0.6587
93509,0.6585
41109,0.6584
28679,0.6581
30692,0.6568
51116,0.6560
90130,0.6552
14813,0.6552
19241,0.6526
62462,0.6521
92315,0.6519
30629,0.6518
83141,0.6514
49174,0.6507
59321,0.6506
89836,0.6504
55302,0.6497
30170,0.6492
41812,0.6465
13805,0.6464
37792,0.6463
45693,0.6461
34270,0.6455
57561,0.6452
17652,0.6450
9511,0.6449
98736,0.6449
27744,0.6448
61989,0.6445
35135,0.6443
26553,0.6442
61962,0.6440
17528,0.6437
34818,0.6436
21785,0.6435
81783,0.6429
48536,0.6429
35470,0.6426
37445,0.6424
78677,0.6421
91830,0.6418
31578,0.6415
36989,0.6414
35951,0.6411
89877,0.6404
45318,0.6403
63031,0.6398
90762,0.6398
52768,0.6397
10342,0.6391
52473,0.6389
36956,0.6384
78930,0.6381
95855,0.6381
80654,0.6380
60530,0.6380
37677,0.6379
24508,0.6376
78361,0.6372
55272,0.6371
23596,0.6368
32986,0.6367
45978,0.6362
493,0.6361
45933,0.6360
95095,0.6357
7805,0.6354
53399,0.6351
47970,0.6349
