feature,importance,percentage
E23,57.39,11.69
E4,42.92,8.74
E9,25.97,5.29
count_cross_B2_and_A2,18.02,3.67
B1,15.20,3.10
E24,14.52,2.96
E2,10.81,2.20
count_cross_B2_and_A3,10.10,2.06
count_cross_B2_and_A1,9.95,2.03
A2_E14_nuq_num,9.79,1.99
count_cross_B2_and_C2,9.67,1.97
E10,9.53,1.94
A2_E1_nuq_num,9.52,1.94
A1,9.45,1.93
ratio_click_of_A3,9.37,1.91
E1_hour_nuq_num,9.08,1.85
E15,8.81,1.79
count_cross_B3_and_C2,7.80,1.59
count_cross_B3_and_A2,7.74,1.58
E7,7.70,1.57
D1,7.68,1.57
A3,7.52,1.53
E27,7.50,1.53
E14_hour_nuq_num,7.34,1.49
E12,7.24,1.47
E28,7.08,1.44
E17,6.78,1.38
count_cross_B3_and_A3,6.68,1.36
A2_hour_nuq_num,6.59,1.34
E3,6.58,1.34
E5,6.56,1.34
ratio_click_of_A2,6.55,1.33
E1,6.44,1.31
count_cross_B2_and_D1,6.26,1.28
B3,6.20,1.26
E11,6.19,1.26
B2,5.95,1.21
E21,5.89,1.20
E14,5.87,1.20
A2,5.86,1.19
E1_A2_nuq_num,5.74,1.17
E6,5.72,1.17
count_cross_B3_and_A1,5.67,1.15
E14_A2_nuq_num,5.66,1.15
E8,5.55,1.13
E20,5.53,1.13
E29,5.44,1.11
E19,5.29,1.08
count_cross_B3_and_C3,5.10,1.04
count_cross_B3_and_D1,5.07,1.03
